,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.5823365807171087,-0.873969672084115,-0.48976565613991874,-0.143679343876445,0.1453968166706483,-0.7694235480671606,-0.9899910185265349,-0.3828800949335158,-0.23764220969502747,-0.9971541838694273,-0.508005474340842,-1.3733371381082544,0.2564477301512915,-0.09466111902149132,1.8384139308723322,-0.49179974181691577,-0.6924883835020585,-0.41853153848941405,0.7356203642323085,0.4422876499778534
1,-0.5823267353118388,-0.8737581000685277,-0.48975810711449286,-0.14345064963809573,0.14600814850826316,-0.7692942621161554,-0.9900531604521252,-0.38305483454391265,-0.3629327495744187,-0.9971540101302674,-0.5080928536085292,-1.3731818610228324,0.2565138839924952,-0.09460969613580472,1.8382859944725962,-0.4918744113798724,-0.6925329423582722,-0.4184076747545614,0.7355852130434015,0.4422786258908902
2,-0.5823157004524324,-0.8735464601859289,-0.48974729203791645,-0.1432188142776175,0.14663494022804735,-0.7691644481199273,-0.9901151439565065,-0.38322867931145266,-0.3613373061582802,-0.9971538168139032,-0.508180240319084,-1.3730254000989202,0.2565796169255139,-0.09455827464320166,1.8381573943530163,-0.49194983661022684,-0.6925773811815247,-0.41828467491586385,0.7355501598565799,0.4422698677418786
3,-0.5823034312216449,-0.8733347479118507,-0.48973322318502777,-0.1429838430411431,0.1472771901232348,-0.7690340876912161,-0.9901769694548449,-0.38340157399892094,-0.35974046627377554,-0.9971536035792687,-0.5082676344725068,-1.3728677935364813,0.2566449261884822,-0.09450686847451617,1.8380281160575715,-0.4920260285578324,-0.6926217010871045,-0.41816257983138405,0.7355151947055312,0.4422613543893077
4,-0.5822898827022305,-0.8731229655085273,-0.48971591755175625,-0.14274572980818423,0.14793489392691206,-0.7689031583072177,-0.9902386373544737,-0.38357349872092295,-0.3581423519424116,-0.9971533704263639,-0.5083550373822445,-1.3727090690845456,0.256709807362417,-0.09445548877441334,1.837898170271147,-0.4921029989854363,-0.6926659098820335,-0.4180414216838423,0.7354803175902547,0.4422530969602878
5,-0.5822750071340809,-0.8729111095826079,-0.4896953902455953,-0.14250447151849654,0.1486080413984856,-0.7687716406263158,-0.9903001480783925,-0.3837444380110365,-0.3565430892530801,-0.9971531171505488,-0.508442451237376,-1.3725493251260381,0.2567742560283346,-0.0944041501702696,1.8377675431662452,-0.49218072900135357,-0.6927100258291666,-0.4179212407716014,0.7354455417991692,0.44224509879295315
6,-0.5822587584628056,-0.8726991801340923,-0.4896716620393474,-0.14226005986570278,0.1492966197372143,-0.768639512475637,-0.9903615020574341,-0.38391437198386724,-0.3549428056504672,-0.9971528437518236,-0.508529880416059,-1.3723886049062006,0.25683826666250575,-0.09435286937908538,1.837636212116053,-0.4922591975752181,-0.6927540503226148,-0.4178020468894028,0.7354108839427975,0.44223733985850333
7,-0.5822410877911501,-0.8724871737696303,-0.4896447546500339,-0.14201249047802544,0.15000061016867705,-0.7685067511096948,-0.9904226996989318,-0.3840832741255503,-0.3533416543393547,-0.9971525500255484,-0.508617326669556,-1.372226890766559,0.25690183153170865,-0.09430166520748495,1.83750416203603,-0.492338422172927,-0.6927979769494672,-0.41768384283574345,0.7353763340548252,0.44222984018573697
8,-0.5822219467904333,-0.8722750882269881,-0.48961468979467615,-0.14176176816442,0.15071998367785988,-0.7683733345464874,-0.9904837414337184,-0.38425112234120173,-0.35173980072667554,-0.9971522361081497,-0.5087047921869461,-1.3720642504579919,0.25696494842645223,-0.09425055785517722,1.8373713954402655,-0.49241841919103746,-0.692841808079713,-0.4175666428829604,0.7353418921352528,0.4422225897602563
9,-0.5822012933862735,-0.8720629201128147,-0.48958149391138706,-0.14150790210561892,0.15145470783621828,-0.7682392379727563,-0.9905446276612937,-0.3844178989549135,-0.3501373817476765,-0.9971519019314145,-0.5087922771871374,-1.37190077083136,0.2570276101658875,-0.09419956543224617,1.8372378972442167,-0.49249918506508017,-0.6928855527750732,-0.41745047753467557,0.7353075515398713,0.44221559859646087
