,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.16806722689075604,-0.4568965517241381,-0.8995433789954338,-0.6636713735558408,0.0888888888888888,0.8888888888888888,-1.0,-0.9078947368421053,0.4411764705882353,0.7377049180327868,0.8384615384615384,-0.5,-0.2016806722689074,-0.46982758620689646,-0.8904109589041096,-0.6277278562259307
1,-0.2016806722689074,-0.46982758620689646,-0.8904109589041096,-0.6277278562259307,0.0888888888888888,0.8888888888888888,-1.0,-0.9078947368421053,0.4411764705882353,0.7377049180327868,0.8384615384615384,-0.5,-0.18487394957983205,-0.44396551724137934,-0.9178082191780822,-0.6302952503209243
2,-0.18487394957983205,-0.44396551724137934,-0.9178082191780822,-0.6302952503209243,0.0888888888888888,0.8888888888888888,-1.0,-0.9078947368421053,0.4411764705882353,0.7377049180327868,0.8384615384615384,-0.5,-0.1344537815126048,-0.4482758620689655,-0.908675799086758,-0.5994865211810012
3,-0.1344537815126048,-0.4482758620689655,-0.908675799086758,-0.5994865211810012,0.0888888888888888,0.8888888888888888,-1.0,-0.9078947368421053,0.4411764705882353,0.7377049180327868,0.8384615384615384,-0.5,-0.14285714285714246,-0.46982758620689646,-0.9269406392694064,-0.6534017971758665
4,-0.14285714285714246,-0.46982758620689646,-0.9269406392694064,-0.6534017971758665,-0.15555555555555556,0.8366013071895424,-1.0,-0.868421052631579,0.5,-0.4098360655737705,0.7538461538461538,0.0,-0.19327731092436973,-0.46982758620689646,-0.8356164383561644,-0.6508344030808729
5,-0.19327731092436973,-0.46982758620689646,-0.8356164383561644,-0.6508344030808729,-0.15555555555555556,0.8366013071895424,-1.0,-0.868421052631579,0.5,-0.4098360655737705,0.7538461538461538,0.0,-0.2016806722689074,-0.43534482758620674,-0.8812785388127854,-0.6585365853658537
6,-0.2016806722689074,-0.43534482758620674,-0.8812785388127854,-0.6585365853658537,-0.15555555555555556,0.8366013071895424,-1.0,-0.868421052631579,0.5,-0.4098360655737705,0.7538461538461538,0.0,-0.21008403361344496,-0.4094827586206897,-0.8995433789954338,-0.6251604621309371
7,-0.21008403361344496,-0.4094827586206897,-0.8995433789954338,-0.6251604621309371,-0.15555555555555556,0.8366013071895424,-1.0,-0.868421052631579,0.5,-0.4098360655737705,0.7538461538461538,0.0,-0.11764705882352955,-0.349137931034483,-0.5525114155251142,1.0
8,-0.11764705882352955,-0.349137931034483,-0.5525114155251142,1.0,-0.15555555555555556,0.8366013071895424,-1.0,-0.868421052631579,0.5,-0.4098360655737705,0.7538461538461538,0.0,-0.04201680672268859,-0.3017241379310345,-0.9269406392694064,-0.6893453145057766
9,-0.04201680672268859,-0.3017241379310345,-0.9269406392694064,-0.6893453145057766,-0.15555555555555556,0.8366013071895424,-1.0,-0.868421052631579,0.5,-0.4098360655737705,0.7538461538461538,0.0,-0.10084033613445353,-0.349137931034483,-0.9178082191780822,-0.6123234916559692
10,-0.10084033613445353,-0.349137931034483,-0.9178082191780822,-0.6123234916559692,-0.24444444444444446,0.9607843137254901,-1.0,-0.9473684210526316,0.3529411764705883,0.2295081967213115,0.8999999999999999,-0.1923076923076923,-0.19327731092436973,-0.31896551724137934,-0.8904109589041096,-0.6251604621309371
11,-0.19327731092436973,-0.31896551724137934,-0.8904109589041096,-0.6251604621309371,-0.24444444444444446,0.9607843137254901,-1.0,-0.9473684210526316,0.3529411764705883,0.2295081967213115,0.8999999999999999,-0.1923076923076923,-0.2016806722689074,-0.3232758620689655,-0.8995433789954338,-0.6508344030808729
